"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2021","0.000360","0.000369","0.000376","0.000360","3.40M","-2.31%"
"Jul 12, 2021","0.000369","0.000373","0.000376","0.000368","12.29M","-1.30%"
"Jul 11, 2021","0.000373","0.000369","0.000378","0.000369","9.91M","1.19%"
"Jul 10, 2021","0.000369","0.000380","0.000380","0.000369","13.74M","-2.90%"
"Jul 09, 2021","0.000380","0.000379","0.000380","0.000368","5.84M","3.26%"
"Jul 08, 2021","0.000368","0.000381","0.000384","0.000360","9.42M","-3.50%"
"Jul 07, 2021","0.000381","0.000383","0.000393","0.000381","10.86M","-2.90%"
"Jul 06, 2021","0.000393","0.000386","0.000397","0.000386","6.38M","1.65%"
"Jul 05, 2021","0.000386","0.000406","0.000406","0.000386","14.63M","-4.83%"
"Jul 04, 2021","0.000406","0.000414","0.000414","0.000406","22.08M","-0.95%"
"Jul 03, 2021","0.000410","0.000392","0.000410","0.000392","6.89M","4.54%"
"Jul 02, 2021","0.000392","0.000397","0.000400","0.000390","8.09M","-1.20%"
"Jul 01, 2021","0.000397","0.000409","0.000409","0.000392","13.40M","-2.97%"
"Jun 30, 2021","0.000409","0.000423","0.000424","0.000409","9.74M","-3.31%"
"Jun 29, 2021","0.000423","0.000400","0.000434","0.000400","14.70M","5.84%"
"Jun 28, 2021","0.000400","0.000401","0.000410","0.000395","10.57M","-0.26%"
"Jun 27, 2021","0.000401","0.000391","0.000401","0.000383","15.49M","2.48%"
"Jun 26, 2021","0.000391","0.000412","0.000412","0.000371","75.79M","-5.10%"
"Jun 25, 2021","0.000412","0.000425","0.000425","0.000400","24.36M","-3.06%"
"Jun 24, 2021","0.000425","0.000416","0.000425","0.000411","22.39M","2.16%"
"Jun 23, 2021","0.000416","0.000407","0.000428","0.000407","43.62M","2.21%"
"Jun 22, 2021","0.000407","0.000419","0.000424","0.000390","94.82M","-2.86%"
"Jun 21, 2021","0.000419","0.000436","0.000436","0.000419","77.56M","-3.90%"
"Jun 20, 2021","0.000436","0.000436","0.000441","0.000432","23.02M","0.00%"
"Jun 19, 2021","0.000436","0.000440","0.000440","0.000434","14.05M","-0.93%"
"Jun 18, 2021","0.000440","0.000456","0.000456","0.000438","28.01M","-3.49%"
"Jun 17, 2021","0.000456","0.000461","0.000468","0.000453","14.94M","-1.08%"
"Jun 16, 2021","0.000461","0.000486","0.000491","0.000461","35.27M","-5.14%"
"Jun 15, 2021","0.000486","0.000481","0.000486","0.000475","28.43M","1.04%"
"Jun 14, 2021","0.000481","0.000475","0.000486","0.000470","18.56M","1.26%"
"Jun 13, 2021","0.000475","0.000441","0.000475","0.000441","20.98M","7.71%"
"Jun 12, 2021","0.000441","0.000467","0.000467","0.000441","15.65M","-5.62%"
"Jun 11, 2021","0.000467","0.000470","0.000470","0.000463","21.01M","-0.58%"
"Jun 10, 2021","0.000470","0.000475","0.000475","0.000464","28.88M","-1.05%"
"Jun 09, 2021","0.000475","0.000441","0.000475","0.000441","34.51M","7.71%"
"Jun 08, 2021","0.000441","0.000454","0.000454","0.000441","63.51M","-2.86%"
"Jun 07, 2021","0.000454","0.000471","0.000475","0.000454","27.37M","-3.61%"
"Jun 06, 2021","0.000471","0.000466","0.000477","0.000466","11.81M","1.07%"
"Jun 05, 2021","0.000466","0.000491","0.000505","0.000466","23.43M","-5.09%"
"Jun 04, 2021","0.000491","0.000503","0.000503","0.000479","36.53M","-2.39%"
"Jun 03, 2021","0.000503","0.000494","0.000503","0.000492","16.92M","1.82%"
"Jun 02, 2021","0.000494","0.000492","0.000500","0.000488","22.42M","0.41%"
"Jun 01, 2021","0.000492","0.000499","0.000499","0.000485","25.74M","-1.41%"
"May 31, 2021","0.000499","0.000469","0.000499","0.000457","62.23M","6.40%"
"May 30, 2021","0.000469","0.000461","0.000482","0.000457","48.12M","1.79%"
"May 29, 2021","0.000461","0.000465","0.000471","0.000454","32.40M","-0.91%"
"May 28, 2021","0.000465","0.000533","0.000533","0.000465","55.90M","-12.68%"
"May 27, 2021","0.000533","0.000513","0.000533","0.000497","94.92M","3.81%"
"May 26, 2021","0.000513","0.000501","0.000517","0.000501","25.98M","2.40%"
"May 25, 2021","0.000501","0.000512","0.000512","0.000488","46.68M","-2.20%"
"May 24, 2021","0.000512","0.000470","0.000512","0.000470","62.59M","9.00%"
"May 23, 2021","0.000470","0.000493","0.000502","0.000455","199.83M","-4.67%"
"May 22, 2021","0.000493","0.000508","0.000510","0.000493","68.03M","-3.02%"
"May 21, 2021","0.000508","0.000577","0.000586","0.000505","93.72M","-11.90%"
"May 20, 2021","0.000577","0.000557","0.000602","0.000557","80.99M","3.59%"
"May 19, 2021","0.000557","0.000678","0.000687","0.000557","226.96M","-17.85%"
"May 18, 2021","0.000678","0.000694","0.000738","0.000678","30.57M","-2.31%"
"May 17, 2021","0.000694","0.000760","0.000762","0.000694","39.05M","-8.68%"
"May 16, 2021","0.000760","0.000767","0.000799","0.000744","30.60M","-0.91%"
"May 15, 2021","0.000767","0.000870","0.000870","0.000762","47.25M","-11.84%"
"May 14, 2021","0.000870","0.000823","0.000891","0.000783","92.11M","5.71%"
"May 13, 2021","0.000823","0.000922","0.000922","0.000823","142.50M","-10.74%"
"May 12, 2021","0.000922","0.000740","0.000955","0.000740","153.56M","24.59%"
"May 11, 2021","0.000740","0.000731","0.000740","0.000706","20.98M","1.24%"
"May 10, 2021","0.000731","0.000773","0.000786","0.000719","33.06M","-5.52%"
"May 09, 2021","0.000774","0.000807","0.000807","0.000760","23.75M","-4.11%"
"May 08, 2021","0.000807","0.000850","0.000876","0.000797","43.14M","-5.08%"
"May 07, 2021","0.000850","0.000855","0.000892","0.000834","69.04M","-0.59%"
"May 06, 2021","0.000855","0.000794","0.000855","0.000794","52.11M","7.66%"
"May 05, 2021","0.000794","0.000758","0.000859","0.000758","57.36M","3.61%"
"May 04, 2021","0.000767","0.000832","0.000832","0.000750","27.13M","-7.87%"
"May 03, 2021","0.000832","0.000818","0.000852","0.000812","36.92M","1.77%"
"May 02, 2021","0.000818","0.000850","0.000865","0.000814","28.27M","-3.82%"
"May 01, 2021","0.000850","0.000886","0.000902","0.000850","31.49M","-4.08%"
"Apr 30, 2021","0.000886","0.000886","0.000915","0.000883","16.85M","0.00%"
"Apr 29, 2021","0.000886","0.000912","0.000912","0.000885","17.49M","-2.85%"
"Apr 28, 2021","0.000912","0.000862","0.000923","0.000862","21.17M","5.88%"
"Apr 27, 2021","0.000862","0.000900","0.000912","0.000860","19.62M","-4.25%"
"Apr 26, 2021","0.000900","0.000831","0.000925","0.000831","34.22M","8.29%"
"Apr 25, 2021","0.000831","0.000784","0.000831","0.000762","55.99M","5.95%"
"Apr 24, 2021","0.000784","0.000878","0.000889","0.000784","53.43M","-10.69%"
"Apr 23, 2021","0.000878","0.000765","0.000878","0.000719","274.70M","14.79%"
"Apr 22, 2021","0.000765","0.000792","0.000793","0.000765","103.04M","-3.42%"
"Apr 21, 2021","0.000792","0.000815","0.000827","0.000792","79.95M","-2.81%"
"Apr 20, 2021","0.000815","0.000820","0.000822","0.000795","77.49M","-0.64%"
"Apr 19, 2021","0.000820","0.000842","0.000848","0.000820","95.51M","-2.58%"
"Apr 18, 2021","0.000842","0.000882","0.000888","0.000828","259.26M","-4.54%"
"Apr 17, 2021","0.000882","0.000851","0.000888","0.000851","94.69M","3.64%"
"Apr 16, 2021","0.000851","0.000857","0.000862","0.000830","140.89M","-0.12%"
"Apr 15, 2021","0.000852","0.000842","0.000860","0.000842","61.27M","1.21%"
"Apr 14, 2021","0.000842","0.000864","0.000876","0.000842","101.42M","-2.57%"
"Apr 13, 2021","0.000864","0.000859","0.000875","0.000855","109.33M","0.58%"
"Apr 12, 2021","0.000859","0.000929","0.000929","0.000846","87.97M","-7.52%"
"Apr 11, 2021","0.000929","0.000969","0.000972","0.000918","52.08M","-4.15%"
"Apr 10, 2021","0.000969","0.000946","0.000974","0.000946","124.12M","2.44%"
"Apr 09, 2021","0.000946","0.000970","0.000971","0.000946","87.89M","-2.49%"
"Apr 08, 2021","0.000970","0.000864","0.000970","0.000860","93.92M","12.29%"
"Apr 07, 2021","0.000864","0.000995","0.000995","0.000822","114.35M","-13.16%"
"Apr 06, 2021","0.000995","0.000957","0.001008","0.000889","234.23M","3.95%"
"Apr 05, 2021","0.000957","0.000805","0.000957","0.000803","390.73M","18.93%"
"Apr 04, 2021","0.000805","0.000659","0.000805","0.000644","531.84M","22.11%"
"Apr 03, 2021","0.000659","0.000596","0.000659","0.000596","183.49M","10.57%"
"Apr 02, 2021","0.000596","0.000597","0.000608","0.000596","79.44M","-0.17%"
"Apr 01, 2021","0.000597","0.000589","0.000597","0.000584","61.41M","1.40%"
"Mar 31, 2021","0.000589","0.000580","0.000589","0.000575","66.23M","1.52%"
"Mar 30, 2021","0.000580","0.000574","0.000581","0.000569","51.65M","1.03%"
"Mar 29, 2021","0.000574","0.000565","0.000579","0.000561","41.07M","1.60%"
"Mar 28, 2021","0.000565","0.000574","0.000583","0.000561","71.57M","-1.57%"
"Mar 27, 2021","0.000574","0.000560","0.000574","0.000560","65.30M","2.50%"
"Mar 26, 2021","0.000560","0.000529","0.000560","0.000529","90.47M","5.86%"
"Mar 25, 2021","0.000529","0.000580","0.000599","0.000518","72.30M","-8.79%"
"Mar 24, 2021","0.000580","0.000553","0.000619","0.000553","71.92M","4.88%"
"Mar 23, 2021","0.000553","0.000486","0.000670","0.000484","268.44M","13.78%"
"Mar 22, 2021","0.000486","0.000465","0.000486","0.000461","260.86M","4.60%"
"Mar 21, 2021","0.000465","0.000469","0.000469","0.000454","165.35M","-0.94%"
"Mar 20, 2021","0.000469","0.000432","0.000472","0.000432","356.80M","8.56%"
"Mar 19, 2021","0.000432","0.000418","0.000432","0.000418","102.22M","3.33%"
"Mar 18, 2021","0.000418","0.000417","0.000424","0.000417","93.59M","0.26%"
"Mar 17, 2021","0.000417","0.000406","0.000417","0.000406","33.06M","2.61%"
"Mar 16, 2021","0.000406","0.000411","0.000412","0.000405","40.46M","-1.12%"
"Mar 15, 2021","0.000411","0.000429","0.000432","0.000411","25.06M","-4.27%"
"Mar 14, 2021","0.000429","0.000450","0.000450","0.000429","15.56M","-4.69%"
"Mar 13, 2021","0.000450","0.000417","0.000453","0.000412","19.71M","8.09%"
"Mar 12, 2021","0.000417","0.000430","0.000436","0.000416","28.27M","-3.07%"
"Mar 11, 2021","0.000430","0.000437","0.000440","0.000426","25.58M","-1.71%"
"Mar 10, 2021","0.000437","0.000435","0.000452","0.000427","22.93M","0.39%"
"Mar 09, 2021","0.000436","0.000415","0.000436","0.000412","31.99M","5.01%"
"Mar 08, 2021","0.000415","0.000388","0.000415","0.000388","16.30M","6.62%"
"Mar 07, 2021","0.000389","0.000388","0.000392","0.000376","19.25M","0.19%"
"Mar 06, 2021","0.000388","0.000363","0.000405","0.000363","20.80M","7.04%"
"Mar 05, 2021","0.000363","0.000378","0.000378","0.000355","13.89M","-3.98%"
"Mar 04, 2021","0.000378","0.000381","0.000384","0.000366","46.46M","-0.79%"
"Mar 03, 2021","0.000381","0.000370","0.000402","0.000370","67.72M","2.88%"
"Mar 02, 2021","0.000370","0.000402","0.000412","0.000370","61.04M","-7.77%"
"Mar 01, 2021","0.000402","0.000389","0.000413","0.000389","30.10M","3.20%"
"Feb 28, 2021","0.000389","0.000408","0.000408","0.000383","7.03M","-4.71%"
"Feb 27, 2021","0.000408","0.000409","0.000421","0.000403","6.39M","-0.19%"
"Feb 26, 2021","0.000409","0.000421","0.000434","0.000407","22.29M","-2.86%"
"Feb 25, 2021","0.000421","0.000430","0.000454","0.000421","13.26M","-2.57%"
"Feb 24, 2021","0.000432","0.000419","0.000468","0.000419","24.71M","3.14%"
"Feb 23, 2021","0.000419","0.000516","0.000516","0.000410","56.76M","-18.73%"
"Feb 22, 2021","0.000516","0.000588","0.000606","0.000500","62.74M","-12.25%"
"Feb 21, 2021","0.000588","0.000483","0.000612","0.000483","84.77M","21.59%"
"Feb 20, 2021","0.000483","0.000449","0.000483","0.000449","42.31M","7.65%"
"Feb 19, 2021","0.000449","0.000491","0.000491","0.000449","83.99M","-8.47%"
"Feb 18, 2021","0.000491","0.000502","0.000545","0.000486","61.18M","-2.31%"
"Feb 17, 2021","0.000502","0.000604","0.000604","0.000502","96.70M","-16.87%"
"Feb 16, 2021","0.000604","0.000685","0.000709","0.000599","49.09M","-11.81%"
"Feb 15, 2021","0.000685","0.000557","0.000703","0.000528","70.80M","22.98%"
