"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2021","4.9858","5.4797","5.8841","4.4456","17.32M","-9.06%"
"Jun 21, 2021","5.4824","7.5494","7.5973","5.4034","12.57M","-27.41%"
"Jun 20, 2021","7.5523","7.6857","7.6902","6.9096","4.99M","-1.76%"
"Jun 19, 2021","7.6875","8.0246","8.0931","7.6586","3.76M","-4.16%"
"Jun 18, 2021","8.0208","8.6349","8.6357","7.7697","4.88M","-7.08%"
"Jun 17, 2021","8.6321","8.6903","9.0438","8.4555","3.55M","-0.69%"
"Jun 16, 2021","8.6924","9.2604","9.2604","8.6159","4.55M","-6.14%"
"Jun 15, 2021","9.2607","9.4285","9.5977","9.0744","4.25M","-1.73%"
"Jun 14, 2021","9.4241","9.2510","9.4886","8.8645","4.62M","1.85%"
"Jun 13, 2021","9.2529","8.5763","9.2786","8.3314","4.61M","7.90%"
"Jun 12, 2021","8.5750","9.0598","9.0642","8.2536","5.68M","-5.38%"
"Jun 11, 2021","9.0623","9.7114","9.8227","8.9169","5.37M","-6.75%"
"Jun 10, 2021","9.7186","9.9299","10.6527","9.3977","8.08M","-2.12%"
"Jun 09, 2021","9.9289","9.3802","9.9477","8.7770","6.83M","5.83%"
"Jun 08, 2021","9.3822","9.6893","9.8922","8.3912","9.41M","-3.18%"
"Jun 07, 2021","9.6908","11.0591","11.2622","9.5620","5.37M","-12.42%"
"Jun 06, 2021","11.0645","10.9233","11.1864","10.7136","3.55M","1.30%"
"Jun 05, 2021","10.9229","11.2854","11.7447","10.5527","5.33M","-3.25%"
"Jun 04, 2021","11.2900","12.4099","12.5885","10.8064","7.36M","-8.94%"
"Jun 03, 2021","12.3979","12.0895","12.7572","11.8803","6.65M","2.50%"
"Jun 02, 2021","12.0950","11.8528","12.3841","11.3864","6.24M","2.09%"
"Jun 01, 2021","11.8470","12.4148","12.6027","11.3263","7.44M","-4.80%"
"May 31, 2021","12.4444","11.4070","12.4444","10.7887","8.61M","9.09%"
"May 30, 2021","11.4076","11.2498","11.8822","10.2644","9.28M","1.45%"
"May 29, 2021","11.2441","12.1245","12.8825","10.5039","11.09M","-7.22%"
"May 28, 2021","12.1189","14.4633","14.4633","11.3145","16.65M","-16.16%"
"May 27, 2021","14.4547","12.6036","14.9163","12.2121","18.16M","14.72%"
"May 26, 2021","12.6001","11.5943","12.8153","11.2975","10.79M","8.53%"
"May 25, 2021","11.6101","11.2602","12.8606","10.6576","21.75M","3.06%"
"May 24, 2021","11.2652","8.1269","11.3834","7.6515","18.06M","38.58%"
"May 23, 2021","8.1292","9.6935","10.7437","6.4031","22.65M","-16.03%"
"May 22, 2021","9.6807","11.1029","11.1393","9.2083","13.02M","-12.82%"
"May 21, 2021","11.1040","13.5955","14.0448","9.6694","19.04M","-18.78%"
"May 20, 2021","13.6722","10.9056","13.7120","9.7073","19.83M","25.34%"
"May 19, 2021","10.9079","18.0672","18.1436","7.6338","28.70M","-39.72%"
"May 18, 2021","18.0960","17.3890","18.6581","16.8924","9.01M","4.02%"
"May 17, 2021","17.3969","19.3067","19.3279","16.2438","13.15M","-9.89%"
"May 16, 2021","19.3065","19.8975","21.8228","18.2134","9.62M","-2.99%"
"May 15, 2021","19.9015","21.9497","22.1889","19.6044","9.56M","-9.33%"
"May 14, 2021","21.9487","20.7472","22.7243","20.0193","10.18M","5.83%"
"May 13, 2021","20.7390","19.9657","21.7345","18.4602","14.21M","5.20%"
"May 12, 2021","19.7143","26.5182","26.7906","19.4383","10.97M","-25.63%"
"May 11, 2021","26.5093","23.5109","26.6343","21.8367","13.85M","12.82%"
"May 10, 2021","23.4965","27.2657","28.2445","21.7917","12.22M","-13.75%"
"May 09, 2021","27.2439","25.5814","30.4469","24.8557","23.09M","6.56%"
"May 08, 2021","25.5659","26.6592","26.9262","23.4192","16.44M","-3.85%"
"May 07, 2021","26.5885","24.7067","35.0077","23.1584","60.91M","7.62%"
"May 06, 2021","24.7048","17.7799","26.0974","17.2833","40.30M","38.93%"
"May 05, 2021","17.7827","14.1473","17.7989","14.1473","12.24M","26.07%"
"May 04, 2021","14.1054","15.7467","15.7591","13.9168","10.52M","-10.42%"
"May 03, 2021","15.7462","15.2253","16.2252","15.1764","7.21M","3.42%"
"May 02, 2021","15.2256","15.1397","16.1386","14.7076","9.32M","0.59%"
"May 01, 2021","15.1369","15.0195","15.2154","14.3926","5.92M","0.72%"
"Apr 30, 2021","15.0279","14.2053","15.1759","13.9148","6.72M","5.84%"
"Apr 29, 2021","14.1987","14.3586","14.6848","13.6481","8.16M","-1.12%"
"Apr 28, 2021","14.3588","14.9252","15.5394","13.3675","10.20M","-3.82%"
"Apr 27, 2021","14.9287","14.0174","15.2278","13.8365","10.58M","6.51%"
"Apr 26, 2021","14.0161","11.9328","14.0203","11.7410","11.27M","17.45%"
"Apr 25, 2021","11.9336","11.6672","13.1236","11.1189","11.09M","2.35%"
"Apr 24, 2021","11.6593","13.0585","13.1282","11.5011","12.20M","-10.69%"
"Apr 23, 2021","13.0544","13.3843","13.6591","10.0131","25.33M","-2.52%"
"Apr 22, 2021","13.3917","15.7915","16.3254","13.3140","14.61M","-15.18%"
"Apr 21, 2021","15.7885","17.4855","17.4982","15.6793","9.63M","-9.65%"
"Apr 20, 2021","17.4746","18.2809","18.6189","16.3102","17.40M","-4.76%"
"Apr 19, 2021","18.3473","18.3059","20.9945","17.5075","31.22M","0.28%"
"Apr 18, 2021","18.2953","17.2543","18.5440","12.0391","24.45M","5.97%"
"Apr 17, 2021","17.2647","18.3532","19.4233","17.0293","11.30M","-5.91%"
"Apr 16, 2021","18.3487","17.6021","19.0958","15.6623","19.20M","4.28%"
"Apr 15, 2021","17.5957","15.9047","17.9874","15.1133","9.05M","10.77%"
"Apr 14, 2021","15.8851","15.0634","16.8783","14.7123","12.29M","5.46%"
"Apr 13, 2021","15.0629","14.5301","15.5219","14.1987","8.31M","3.70%"
"Apr 12, 2021","14.5254","14.9493","16.2321","14.3857","8.31M","-2.84%"
"Apr 11, 2021","14.9501","15.8763","15.9238","14.5776","7.60M","-5.73%"
"Apr 10, 2021","15.8586","15.7430","16.5020","14.9238","10.91M","0.72%"
"Apr 09, 2021","15.7450","16.8551","16.8551","15.0964","9.71M","-6.71%"
"Apr 08, 2021","16.8783","15.6251","16.9020","14.3625","16.95M","7.96%"
"Apr 07, 2021","15.6331","15.2439","17.9626","13.6513","48.11M","2.57%"
"Apr 06, 2021","15.2411","11.8312","15.3141","11.7768","29.86M","28.80%"
"Apr 05, 2021","11.8328","10.7737","12.1423","10.6827","13.16M","9.87%"
"Apr 04, 2021","10.7696","9.7416","10.9878","9.6087","10.52M","10.53%"
"Apr 03, 2021","9.7432","10.1810","11.4250","9.7296","13.53M","-4.34%"
"Apr 02, 2021","10.1852","10.0261","10.4746","9.7834","8.83M","1.59%"
"Apr 01, 2021","10.0262","9.3800","10.9258","9.3800","23.49M","6.88%"
"Mar 31, 2021","9.3809","8.7597","9.6128","8.1255","13.37M","7.09%"
"Mar 30, 2021","8.7600","8.7626","9.1834","8.6461","9.96M","-0.04%"
"Mar 29, 2021","8.7635","8.2068","8.8482","7.9518","9.67M","6.79%"
"Mar 28, 2021","8.2062","8.5541","8.5717","7.9213","9.04M","-4.02%"
"Mar 27, 2021","8.5502","8.6344","9.1783","8.1995","14.35M","-0.95%"
"Mar 26, 2021","8.6326","8.2159","9.5091","8.1815","26.55M","5.09%"
"Mar 25, 2021","8.2142","7.2331","8.7610","6.7471","36.73M","13.58%"
"Mar 24, 2021","7.2318","7.0067","8.5505","6.7768","23.86M","3.11%"
"Mar 23, 2021","7.0140","6.5413","7.0973","6.3319","10.69M","7.21%"
"Mar 22, 2021","6.5421","6.5945","7.0958","6.4347","12.04M","-0.76%"
"Mar 21, 2021","6.5922","6.6343","6.8023","6.3884","8.19M","-0.57%"
"Mar 20, 2021","6.6302","7.0018","7.3494","6.6037","8.19M","-5.42%"
"Mar 19, 2021","7.0099","6.3685","7.5471","6.1791","14.89M","10.05%"
"Mar 18, 2021","6.3697","6.2068","6.6962","6.0829","10.01M","2.60%"
"Mar 17, 2021","6.2081","6.3733","6.4320","5.8799","7.57M","-2.59%"
"Mar 16, 2021","6.3729","5.9473","6.4231","5.6452","10.88M","7.12%"
"Mar 15, 2021","5.9491","5.8329","6.1869","5.4866","13.56M","1.94%"
"Mar 14, 2021","5.8360","6.1222","6.2818","5.7963","5.87M","-4.67%"
"Mar 13, 2021","6.1220","5.8422","6.2069","5.5872","7.39M","4.77%"
"Mar 12, 2021","5.8435","6.1370","6.1631","5.7122","7.39M","-4.67%"
"Mar 11, 2021","6.1296","6.2310","6.2761","5.8750","7.66M","-1.62%"
"Mar 10, 2021","6.2305","6.5600","6.5679","6.0522","9.97M","-5.02%"
"Mar 09, 2021","6.5600","6.3035","6.6165","6.1889","8.45M","4.06%"
"Mar 08, 2021","6.3043","6.3425","6.3994","6.0101","6.36M","-0.58%"
"Mar 07, 2021","6.3408","6.3267","6.5445","6.1129","7.54M","0.24%"
"Mar 06, 2021","6.3255","6.5752","6.6515","5.9183","12.04M","-3.76%"
"Mar 05, 2021","6.5729","5.6763","6.6137","5.2616","18.84M","15.81%"
