"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","5.1630","4.8935","5.2639","4.8572","3.72M","5.67%"
"Aug 19, 2021","4.8862","4.4111","4.8935","4.2446","2.91M","10.77%"
"Aug 18, 2021","4.4111","4.3300","4.6828","4.0058","4.09M","1.87%"
"Aug 17, 2021","4.3300","4.4200","4.8550","4.2601","3.18M","-2.04%"
"Aug 16, 2021","4.4200","4.3958","4.8717","4.3228","3.73M","0.55%"
"Aug 15, 2021","4.3958","4.3650","4.4524","4.1277","2.20M","0.70%"
"Aug 14, 2021","4.3650","4.2181","4.6003","4.1588","4.01M","3.48%"
"Aug 13, 2021","4.2181","3.9567","4.2297","3.8803","1.62M","6.61%"
"Aug 12, 2021","3.9567","4.0927","4.2045","3.7489","2.57M","-3.36%"
"Aug 11, 2021","4.0942","3.9095","4.3777","3.8613","3.03M","4.73%"
"Aug 10, 2021","3.9095","3.9074","4.0954","3.7930","1.58M","0.05%"
"Aug 09, 2021","3.9074","3.7784","3.9439","3.6138","1.29M","3.41%"
"Aug 08, 2021","3.7784","3.9893","3.9932","3.7152","1.48M","-5.29%"
"Aug 07, 2021","3.9893","4.0485","4.1876","3.8198","2.99M","-1.46%"
"Aug 06, 2021","4.0485","3.5500","4.1698","3.5500","3.99M","14.04%"
"Aug 05, 2021","3.5500","3.3500","3.6274","3.3500","3.40M","5.97%"
"Aug 04, 2021","3.3500","3.1752","3.3698","3.0634","2.06M","5.50%"
"Aug 03, 2021","3.1752","3.3713","3.3713","3.1001","1.88M","-5.82%"
"Aug 02, 2021","3.3713","3.4037","3.4948","3.2215","4.85M","-0.95%"
"Aug 01, 2021","3.4037","3.1771","4.4695","3.1771","11.02M","7.13%"
"Jul 31, 2021","3.1771","2.9758","3.2848","2.9277","2.10M","6.77%"
"Jul 30, 2021","2.9758","2.8920","3.1227","2.7264","2.16M","2.89%"
"Jul 29, 2021","2.8920","2.6732","2.9313","2.5988","1.95M","8.19%"
"Jul 28, 2021","2.6732","2.7018","2.7111","2.5656","1.04M","-0.71%"
"Jul 27, 2021","2.6924","2.5711","2.7665","2.4587","2.89M","4.72%"
"Jul 26, 2021","2.5711","2.5357","2.7914","2.5152","1.71M","1.58%"
"Jul 25, 2021","2.5312","2.4889","2.5312","2.4500","662.13K","2.51%"
"Jul 24, 2021","2.4692","2.3872","2.5696","2.3551","1.51M","3.43%"
"Jul 23, 2021","2.3872","2.3072","2.3885","2.2562","892.53K","3.47%"
