"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","0.75430","0.75860","0.76110","0.74800","13.92M","-0.44%"
"Aug 19, 2021","0.75760","0.71670","0.75770","0.69830","14.19M","5.74%"
"Aug 18, 2021","0.71650","0.73510","0.74490","0.69720","14.63M","-2.69%"
"Aug 17, 2021","0.73630","0.78300","0.81300","0.73250","17.01M","-5.95%"
"Aug 16, 2021","0.78290","0.81250","0.82610","0.77370","17.94M","-3.56%"
"Aug 15, 2021","0.81180","0.78000","0.81800","0.75140","20.03M","4.08%"
"Aug 14, 2021","0.78000","0.79130","0.79130","0.74450","13.40M","-1.12%"
"Aug 13, 2021","0.78880","0.71510","0.79040","0.70790","13.00M","10.32%"
"Aug 12, 2021","0.71500","0.74370","0.77400","0.68980","16.05M","-3.95%"
"Aug 11, 2021","0.74440","0.72260","0.77800","0.71740","18.84M","3.06%"
"Aug 10, 2021","0.72230","0.70130","0.72460","0.68810","12.60M","2.99%"
"Aug 09, 2021","0.70130","0.67370","0.71050","0.64960","12.46M","4.27%"
"Aug 08, 2021","0.67260","0.72140","0.73150","0.66480","13.01M","-6.69%"
"Aug 07, 2021","0.72080","0.69640","0.73590","0.68710","19.70M","3.62%"
"Aug 06, 2021","0.69560","0.67790","0.70610","0.66150","10.71M","2.60%"
"Aug 05, 2021","0.67800","0.66880","0.69050","0.64660","11.47M","1.24%"
"Aug 04, 2021","0.66970","0.64100","0.68000","0.62980","10.17M","4.51%"
"Aug 03, 2021","0.64080","0.65640","0.66200","0.62070","6.27M","-2.26%"
"Aug 02, 2021","0.65560","0.65950","0.67080","0.63810","8.48M","-0.62%"
"Aug 01, 2021","0.65970","0.65640","0.71990","0.64850","34.22M","1.60%"
"Jul 31, 2021","0.64930","0.61370","0.65860","0.60860","13.87M","5.53%"
"Jul 30, 2021","0.61530","0.59490","0.62000","0.57390","12.27M","3.45%"
"Jul 29, 2021","0.59480","0.57140","0.60260","0.55660","7.43M","4.46%"
"Jul 28, 2021","0.56940","0.57350","0.58530","0.55150","9.32M","-0.65%"
"Jul 27, 2021","0.57310","0.54760","0.57830","0.53600","11.09M","4.68%"
"Jul 26, 2021","0.54750","0.54230","0.59850","0.54090","18.36M","1.01%"
"Jul 25, 2021","0.54200","0.53780","0.54250","0.52570","5.84M","-0.75%"
"Jul 24, 2021","0.54610","0.52530","0.55480","0.52090","10.49M","4.06%"
"Jul 23, 2021","0.52480","0.51320","0.52990","0.50170","8.98M","2.28%"
"Jul 22, 2021","0.51310","0.50350","0.52220","0.49560","10.53M","1.95%"
"Jul 21, 2021","0.50330","0.46500","0.50660","0.45680","15.55M","7.89%"
"Jul 20, 2021","0.46650","0.49550","0.50200","0.45650","14.66M","-5.57%"
"Jul 19, 2021","0.49400","0.51800","0.51990","0.48810","11.78M","-4.87%"
"Jul 18, 2021","0.51930","0.53360","0.55480","0.51480","17.57M","-2.77%"
"Jul 17, 2021","0.53410","0.54880","0.60150","0.53140","57.44M","-2.80%"
"Jul 16, 2021","0.54950","0.50800","0.57770","0.49430","40.55M","8.40%"
"Jul 15, 2021","0.50690","0.53090","0.53930","0.49910","8.44M","-4.54%"
"Jul 14, 2021","0.53100","0.53580","0.53750","0.49820","8.55M","-0.77%"
"Jul 13, 2021","0.53510","0.54800","0.55330","0.52720","6.79M","-2.43%"
"Jul 12, 2021","0.54840","0.56290","0.57180","0.54050","6.23M","-2.47%"
"Jul 11, 2021","0.56230","0.55750","0.56620","0.54610","6.18M","0.86%"
"Jul 10, 2021","0.55750","0.56940","0.57960","0.54760","6.61M","-2.11%"
"Jul 09, 2021","0.56950","0.54250","0.57330","0.53780","12.68M","0.07%"
"Jul 08, 2021","0.56910","0.61180","0.61670","0.56060","15.28M","-7.24%"
"Jul 07, 2021","0.61350","0.59190","0.64320","0.59190","16.89M","2.94%"
"Jul 06, 2021","0.59600","0.56690","0.59950","0.56690","10.48M","5.17%"
"Jul 05, 2021","0.56670","0.60600","0.60600","0.56580","8.83M","-6.27%"
"Jul 04, 2021","0.60460","0.59570","0.61760","0.59290","7.74M","2.34%"
"Jul 03, 2021","0.59080","0.58180","0.59480","0.57060","6.13M","1.63%"
"Jul 02, 2021","0.58130","0.58140","0.58140","0.54990","5.09M","0.00%"
"Jul 01, 2021","0.58130","0.61680","0.61680","0.56680","9.54M","-5.45%"
"Jun 30, 2021","0.61480","0.58660","0.61480","0.57000","10.11M","5.29%"
"Jun 29, 2021","0.58390","0.55750","0.60480","0.55750","11.96M","4.96%"
