Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,0.794921,0.796679,0.791015,0.796679,0.549483,204800
1996-01-02,0.794921,0.798828,0.793457,0.793457,0.547260,204800
1996-01-03,0.798828,0.798828,0.798828,0.798828,0.550965,102400
1996-01-04,0.791015,0.794921,0.791015,0.793554,0.547327,307200
1996-01-05,0.784179,0.784179,0.784179,0.784179,0.540861,51200
1996-01-08,0.784179,0.791015,0.785156,0.789062,0.544229,358400
1996-01-09,0.789062,0.781250,0.771484,0.780273,0.538167,870400
1996-01-10,0.780273,0.775390,0.771484,0.773437,0.533452,358400
1996-01-11,0.779296,0.791015,0.773437,0.791015,0.545576,819200
1996-01-12,0.787109,0.787109,0.781250,0.786621,0.542545,358400
1996-01-15,0.776367,0.785156,0.776367,0.777832,0.536483,307200
1996-01-16,0.777832,0.781250,0.712890,0.781250,0.538841,358400
1996-01-17,0.781250,0.783203,0.771484,0.773828,0.533722,768000
1996-01-18,0.773828,0.776367,0.769531,0.776367,0.535473,204800
1996-01-19,0.771484,0.771484,0.768066,0.768554,0.530084,512000
1996-01-22,0.771484,0.776367,0.771484,0.776367,0.535473,204800
1996-01-23,0.767578,0.781250,0.767578,0.773925,0.533789,665600
1996-01-24,0.773925,0.770507,0.752929,0.770507,0.531431,409600
1996-01-25,0.770996,0.770996,0.767578,0.767578,0.529411,102400
1996-01-26,0.767578,0.767578,0.767578,0.767578,0.529411,0
1996-01-29,0.765625,0.765625,0.763183,0.763183,0.526380,102400
1996-01-30,0.763183,0.775390,0.771484,0.772460,0.532778,1433600
1996-01-31,0.772460,0.781250,0.767578,0.781250,0.538841,460800
1996-02-01,0.781250,0.810546,0.781250,0.810546,0.559047,819200
1996-02-02,0.810546,0.839843,0.810546,0.839746,0.579187,2355200
1996-02-05,0.839746,0.841796,0.820410,0.839843,0.579254,819200
1996-02-06,0.839843,0.883789,0.839843,0.859375,0.592725,1382400
1996-02-07,0.859375,0.843750,0.833984,0.836523,0.576964,972800
1996-02-08,0.849609,0.888671,0.849609,0.888671,0.612931,768000
1996-02-09,0.888671,0.927734,0.830078,0.922558,0.636303,1382400
1996-02-12,0.922558,0.935546,0.908203,0.912109,0.629097,819200
1996-02-13,0.937500,0.957031,0.937500,0.957031,0.660080,2048000
1996-02-14,0.957031,1.000976,0.951171,0.993164,0.685001,972800
1996-02-15,0.993164,1.005859,0.957031,1.002539,0.691468,2201600
1996-02-16,1.002539,1.015625,0.965332,1.005371,0.693421,2764800
1996-02-19,1.005371,0.986328,0.982421,0.984570,0.679074,1024000
1996-02-20,0.984570,0.981445,0.968750,0.968945,0.668297,614400
1996-02-21,0.968945,0.968945,0.968945,0.968945,0.668297,0
1996-02-22,0.968945,0.972656,0.961230,0.961425,0.663111,307200
1996-02-23,0.961425,0.970703,0.960937,0.970703,0.669510,153600
1996-02-26,0.970703,0.976562,0.966308,0.976562,0.673551,204800
